AssayNumber,Strain,TraitName,Replicate,Value
3,CX11314,Hatch_Time,24,0.94979
3,CX11314,Hatch_Time,25,0.97677
3,CX11314,Hatch_Time,26,0.94009
3,CX11314,Hatch_Time,27,0.94583
3,CX11314,Hatch_Time,28,0.93684
3,CX11314,Hatch_Time,29,0.97791
3,CX11314,Hatch_Time,30,0.96154
4,JU775,Hatch_Time,1,1.0912
4,JU775,Hatch_Time,2,0.90831
4,JU775,Hatch_Time,3,0.92473
4,JU775,Hatch_Time,4,0.91008
4,JU775,Hatch_Time,5,1.2825
4,JU775,Hatch_Time,6,1.4907
4,JU775,Hatch_Time,7,0.88508
4,JU775,Hatch_Time,8,0.9359
4,JU775,Hatch_Time,9,0.94388
4,JU775,Hatch_Time,10,0.96096
4,JU775,Hatch_Time,12,1.2961
4,JU775,Hatch_Time,13,1.3231
4,N2,Hatch_Time,47,0.9973
4,N2,Hatch_Time,48,0.98578
4,N2,Hatch_Time,50,1.0006
4,N2,Hatch_Time,51,1.0365
4,N2,Hatch_Time,52,1.0138
4,N2,Hatch_Time,53,1.0758
4,N2,Hatch_Time,54,0.9791
4,N2,Hatch_Time,55,0.98548
4,N2,Hatch_Time,56,0.95174
4,N2,Hatch_Time,57,0.98784
4,N2,Hatch_Time,58,1.0259
4,N2,Hatch_Time,59,0.95546
4,N2,Hatch_Time,60,0.98371
4,N2,Hatch_Time,61,1.0211
4,LKC34,Hatch_Time,16,0.92556
4,LKC34,Hatch_Time,17,0.97413
4,LKC34,Hatch_Time,18,0.96722
4,LKC34,Hatch_Time,19,1.2302
4,LKC34,Hatch_Time,20,0.98371
4,LKC34,Hatch_Time,21,0.96013
4,LKC34,Hatch_Time,22,0.93336
4,LKC34,Hatch_Time,23,0.98205
4,LKC34,Hatch_Time,24,0.97904
4,LKC34,Hatch_Time,25,0.89093
4,LKC34,Hatch_Time,26,0.98796
4,LKC34,Hatch_Time,27,0.94577
4,LKC34,Hatch_Time,28,0.95197
4,LKC34,Hatch_Time,29,0.94914
4,LKC34,Hatch_Time,30,0.95942
4,LKC34,Hatch_Time,31,0.94087
4,JT11398,Hatch_Time,17,0.92007
4,JT11398,Hatch_Time,18,0.97461
4,JT11398,Hatch_Time,19,0.96255
4,JT11398,Hatch_Time,20,0.96752
4,JT11398,Hatch_Time,21,0.98524
4,JT11398,Hatch_Time,22,1.0008
4,JT11398,Hatch_Time,23,1.027
4,JT11398,Hatch_Time,25,0.8842
4,JT11398,Hatch_Time,26,0.9063
4,JT11398,Hatch_Time,28,0.95186
4,JT11398,Hatch_Time,30,0.96758
4,JT11398,Hatch_Time,31,0.90204
4,JT11398,Hatch_Time,32,0.9882
5,JT11398,Hatch_Time,33,0.94477
5,JT11398,Hatch_Time,34,0.98424
5,JT11398,Hatch_Time,35,0.98673
5,JT11398,Hatch_Time,36,0.96404
5,JT11398,Hatch_Time,37,1.0644
5,JT11398,Hatch_Time,38,0.98812
5,JT11398,Hatch_Time,39,1.0015
5,JT11398,Hatch_Time,40,1.012
5,JT11398,Hatch_Time,41,0.96381
5,JT11398,Hatch_Time,42,0.99275
5,JT11398,Hatch_Time,43,0.92324
5,JT11398,Hatch_Time,44,0.94801
5,JT11398,Hatch_Time,45,0.97533
5,JT11398,Hatch_Time,46,0.95866
5,JT11398,Hatch_Time,47,0.85484
5,ED3017,Hatch_Time,1,1.0354
5,ED3017,Hatch_Time,2,0.96908
5,ED3017,Hatch_Time,3,0.98933
5,ED3017,Hatch_Time,4,1.0112
5,ED3017,Hatch_Time,5,1.004
5,ED3017,Hatch_Time,6,1.0583
5,ED3017,Hatch_Time,7,1.0325
5,ED3017,Hatch_Time,8,1.0484
5,ED3017,Hatch_Time,9,1.0483
5,ED3017,Hatch_Time,10,1.057
5,ED3017,Hatch_Time,11,0.96086
5,ED3017,Hatch_Time,12,1.011
5,ED3017,Hatch_Time,13,1.0252
5,ED3017,Hatch_Time,14,0.99061
5,ED3017,Hatch_Time,15,1.0687
5,N2,Hatch_Time,62,0.97863
5,N2,Hatch_Time,63,0.94743
5,N2,Hatch_Time,64,1.1055
5,N2,Hatch_Time,65,0.95322
5,N2,Hatch_Time,66,0.97128
5,N2,Hatch_Time,67,0.99917
5,N2,Hatch_Time,68,0.981
5,N2,Hatch_Time,69,1.0387
5,N2,Hatch_Time,71,1.0459
5,N2,Hatch_Time,72,0.96977
5,N2,Hatch_Time,73,1.0138
5,N2,Hatch_Time,74,1.0116
5,N2,Hatch_Time,75,0.98413
5,DL238,Hatch_Time,17,0.9946
5,DL238,Hatch_Time,18,1.0782
5,DL238,Hatch_Time,19,1.0417
5,DL238,Hatch_Time,20,1.0551
5,DL238,Hatch_Time,21,0.99541
5,DL238,Hatch_Time,22,1.0248
5,DL238,Hatch_Time,23,1.0937
5,DL238,Hatch_Time,24,1.0058
5,DL238,Hatch_Time,25,0.95536
5,DL238,Hatch_Time,26,0.99906
5,DL238,Hatch_Time,27,1.0034
5,DL238,Hatch_Time,28,0.96995
5,DL238,Hatch_Time,31,1.0142
5,DL238,Hatch_Time,32,1.0357
5,DL238,Hatch_Time,33,0.94622
5,LKC34,Hatch_Time,32,0.94089
5,LKC34,Hatch_Time,34,0.91259
5,LKC34,Hatch_Time,35,0.91196
5,LKC34,Hatch_Time,37,0.93169
5,LKC34,Hatch_Time,40,0.97984
5,LKC34,Hatch_Time,42,0.93175
5,LKC34,Hatch_Time,43,1.0304
5,LKC34,Hatch_Time,44,1.0097
6,N2,Hatch_Time,84,0.99402
6,N2,Hatch_Time,85,1.0356
6,N2,Hatch_Time,86,0.94996
6,N2,Hatch_Time,87,0.9608
6,N2,Hatch_Time,88,0.97487
6,N2,Hatch_Time,89,1.0483
6,N2,Hatch_Time,90,0.97518
6,N2,Hatch_Time,91,1.0612
6,MY16,Hatch_Time,15,0.9703
6,MY16,Hatch_Time,16,0.93913
6,MY16,Hatch_Time,17,0.92501
6,MY16,Hatch_Time,18,0.96747
6,MY16,Hatch_Time,19,0.9532
6,MY16,Hatch_Time,20,0.95253
6,MY16,Hatch_Time,21,0.96686
6,MY16,Hatch_Time,22,0.95998
6,MY16,Hatch_Time,23,0.96763
6,MY16,Hatch_Time,24,0.98216
6,MY16,Hatch_Time,25,0.9553
6,MY16,Hatch_Time,26,0.9703
6,MY16,Hatch_Time,27,0.98334
6,MY16,Hatch_Time,29,0.99243
6,EG4725,Hatch_Time,17,0.96106
6,EG4725,Hatch_Time,18,0.95464
6,EG4725,Hatch_Time,19,0.98067
6,EG4725,Hatch_Time,20,0.97646
6,EG4725,Hatch_Time,21,0.97605
6,EG4725,Hatch_Time,22,0.97641
6,EG4725,Hatch_Time,23,1.011
6,EG4725,Hatch_Time,24,1.0182
6,EG4725,Hatch_Time,26,0.98242
6,EG4725,Hatch_Time,27,1.0224
6,EG4725,Hatch_Time,28,0.99962
6,EG4725,Hatch_Time,30,1.0066
6,EG4725,Hatch_Time,31,1.182
6,EG4725,Hatch_Time,32,0.98124
6,CB4856,Hatch_Time,15,0.9667
6,CB4856,Hatch_Time,16,0.96835
6,CB4856,Hatch_Time,17,0.92973
6,CB4856,Hatch_Time,18,0.95546
6,CB4856,Hatch_Time,19,0.97261
6,CB4856,Hatch_Time,20,0.96763
6,CB4856,Hatch_Time,24,0.94555
6,CB4856,Hatch_Time,26,0.9209
6,CB4856,Hatch_Time,27,0.91376
6,CB4856,Hatch_Time,28,0.98175
6,CB4856,Hatch_Time,29,0.9362
6,CB4856,Hatch_Time,30,0.9647
7,JU258,Hatch_Time,17,1.3518
7,JU258,Hatch_Time,21,1.0645
7,JU258,Hatch_Time,22,1.0303
7,JU258,Hatch_Time,23,1.0635
7,JU258,Hatch_Time,24,1.0784
7,JU258,Hatch_Time,25,0.98709
7,JU258,Hatch_Time,26,1.113
7,JU258,Hatch_Time,29,1.0967
7,MY23,Hatch_Time,15,0.98656
7,MY23,Hatch_Time,16,0.90991
7,MY23,Hatch_Time,17,0.92334
7,MY23,Hatch_Time,18,0.9789
7,MY23,Hatch_Time,19,0.95365
7,MY23,Hatch_Time,20,0.94447
7,MY23,Hatch_Time,21,0.94318
7,MY23,Hatch_Time,22,1.0132
7,MY23,Hatch_Time,25,1.0099
7,MY23,Hatch_Time,26,1.0257
7,CX11314,Hatch_Time,31,0.99578
7,CX11314,Hatch_Time,33,1.1216
7,CX11314,Hatch_Time,34,1.0405
7,CX11314,Hatch_Time,37,1.0813
7,CX11314,Hatch_Time,38,1.0555
7,CX11314,Hatch_Time,39,1.0115
7,CX11314,Hatch_Time,40,1.0019
7,CX11314,Hatch_Time,41,0.98033
7,CX11314,Hatch_Time,42,0.99851
7,CX11314,Hatch_Time,43,0.96596
7,CX11314,Hatch_Time,44,0.96386
7,CX11314,Hatch_Time,45,1.1377
7,CX11314,Hatch_Time,46,0.97747
7,N2,Hatch_Time,92,1.053
7,N2,Hatch_Time,93,0.9331
7,N2,Hatch_Time,94,1.0439
7,N2,Hatch_Time,95,0.96547
7,N2,Hatch_Time,96,1.0036
7,N2,Hatch_Time,97,1.0557
7,N2,Hatch_Time,98,1.0206
7,N2,Hatch_Time,99,1.0686
7,N2,Hatch_Time,100,0.99976
7,N2,Hatch_Time,101,0.95576
7,N2,Hatch_Time,102,1.0454
7,N2,Hatch_Time,103,0.98548
7,N2,Hatch_Time,104,0.96637
7,N2,Hatch_Time,105,0.95473
7,N2,Hatch_Time,106,0.99591
7,N2,Hatch_Time,107,0.9528
8,JU258,Hatch_Time,33,1.0456
8,JU258,Hatch_Time,34,0.96268
8,JU258,Hatch_Time,35,0.9865
8,JU258,Hatch_Time,36,0.95373
8,JU258,Hatch_Time,37,0.95508
8,JU258,Hatch_Time,38,1.0157
8,JU258,Hatch_Time,39,0.97423
8,JU258,Hatch_Time,40,1.0122
8,JU258,Hatch_Time,41,0.99756
8,JU258,Hatch_Time,42,1.0726
8,JU258,Hatch_Time,44,1.0158
8,JU258,Hatch_Time,45,1.0793
8,JU258,Hatch_Time,46,1.0614
8,N2,Hatch_Time,108,0.96316
8,N2,Hatch_Time,109,0.99742
8,N2,Hatch_Time,110,0.99318
8,N2,Hatch_Time,111,0.9812
8,N2,Hatch_Time,112,1.0002
8,N2,Hatch_Time,113,0.97591
8,N2,Hatch_Time,114,0.96845
8,N2,Hatch_Time,115,1.0214
8,N2,Hatch_Time,116,1.0991
8,CB4856,Hatch_Time,31,0.97466
8,CB4856,Hatch_Time,32,0.92958
8,CB4856,Hatch_Time,33,0.9686
8,CB4856,Hatch_Time,34,0.96614
8,CB4856,Hatch_Time,35,0.9915
8,CB4856,Hatch_Time,36,0.94695
8,CB4856,Hatch_Time,37,0.96013
8,CB4856,Hatch_Time,38,0.95522
8,CB4856,Hatch_Time,39,0.99164
8,CB4856,Hatch_Time,41,1.0016
8,DL238,Hatch_Time,35,1.1182
8,DL238,Hatch_Time,38,1.1043
8,DL238,Hatch_Time,40,1.0595
8,DL238,Hatch_Time,41,1.0823
8,DL238,Hatch_Time,44,1.0889
8,DL238,Hatch_Time,45,1.0743
9,JU775,Hatch_Time,17,1.0015
9,JU775,Hatch_Time,18,1.0215
9,JU775,Hatch_Time,19,1.0521
9,JU775,Hatch_Time,20,1.0092
9,JU775,Hatch_Time,21,1.1071
9,JU775,Hatch_Time,22,1.0965
9,JU775,Hatch_Time,23,1.1047
9,JU775,Hatch_Time,24,1.0359
9,JU775,Hatch_Time,25,0.99714
9,JU775,Hatch_Time,26,1.0077
9,JU775,Hatch_Time,27,1.0172
9,JU775,Hatch_Time,28,1.0376
9,JU775,Hatch_Time,29,1.026
9,JU775,Hatch_Time,30,1.0406
9,JU775,Hatch_Time,31,1.0033
9,JU775,Hatch_Time,32,1.1487
9,MY23,Hatch_Time,31,1.0528
9,MY23,Hatch_Time,32,1.0071
9,MY23,Hatch_Time,33,1.1132
9,MY23,Hatch_Time,34,0.9848
9,MY23,Hatch_Time,35,1.3396
9,MY23,Hatch_Time,36,1.206
9,MY23,Hatch_Time,37,1.0566
9,MY23,Hatch_Time,38,1.0176
9,MY23,Hatch_Time,39,0.98138
9,MY23,Hatch_Time,40,1.0246
9,MY23,Hatch_Time,41,0.98879
9,MY23,Hatch_Time,42,1.1599
9,MY23,Hatch_Time,43,1.2091
9,MY23,Hatch_Time,44,1.3496
9,MY23,Hatch_Time,46,1.2217
9,N2,Hatch_Time,121,0.9682
9,N2,Hatch_Time,122,0.99273
9,N2,Hatch_Time,123,0.98298
9,N2,Hatch_Time,124,0.98278
9,N2,Hatch_Time,125,1.0052
9,N2,Hatch_Time,126,0.99953
9,N2,Hatch_Time,127,0.98319
9,N2,Hatch_Time,128,1.0024
9,N2,Hatch_Time,129,1.0036
9,N2,Hatch_Time,131,1.019
9,N2,Hatch_Time,132,0.99683
9,N2,Hatch_Time,133,1.0092
9,N2,Hatch_Time,134,1.0122
9,N2,Hatch_Time,135,0.95648
9,N2,Hatch_Time,136,1.0856
9,JT11398,Hatch_Time,52,1.0032
9,JT11398,Hatch_Time,53,0.98957
9,JT11398,Hatch_Time,54,1.0224
9,JT11398,Hatch_Time,55,1.0003
9,JT11398,Hatch_Time,56,1.032
9,JT11398,Hatch_Time,57,1.0038
9,JT11398,Hatch_Time,58,1.0125
9,JT11398,Hatch_Time,59,0.97977
9,JT11398,Hatch_Time,60,1.0206
9,JT11398,Hatch_Time,61,1.0341
9,JT11398,Hatch_Time,62,1.0062
9,JT11398,Hatch_Time,63,1.0099
10,N2,Hatch_Time,141,0.98889
10,N2,Hatch_Time,142,1.0377
10,N2,Hatch_Time,143,0.94667
10,N2,Hatch_Time,144,0.95277
10,N2,Hatch_Time,146,1.0256
10,N2,Hatch_Time,148,1.0559
10,N2,Hatch_Time,149,0.97008
10,N2,Hatch_Time,150,0.9929
10,N2,Hatch_Time,151,0.96885
10,N2,Hatch_Time,152,1.0607
10,MY16,Hatch_Time,31,0.93264
10,MY16,Hatch_Time,32,1.0739
10,MY16,Hatch_Time,33,0.99845
10,MY16,Hatch_Time,34,1.0146
10,MY16,Hatch_Time,35,0.96625
10,MY16,Hatch_Time,36,0.9939
10,MY16,Hatch_Time,37,0.96949
10,MY16,Hatch_Time,38,1.0913
10,MY16,Hatch_Time,39,0.97677
10,MY16,Hatch_Time,40,1.1352
10,MY16,Hatch_Time,41,0.97787
10,MY16,Hatch_Time,42,0.97199
10,MY16,Hatch_Time,43,1.0996
10,MY16,Hatch_Time,44,1.0864
10,MY16,Hatch_Time,45,0.94157
10,MY16,Hatch_Time,46,1.0289
10,ED3017,Hatch_Time,16,0.90291
10,ED3017,Hatch_Time,17,0.98889
10,ED3017,Hatch_Time,18,0.92408
10,ED3017,Hatch_Time,19,0.95956
10,ED3017,Hatch_Time,20,0.96375
10,ED3017,Hatch_Time,21,1.0054
10,ED3017,Hatch_Time,22,1.1318
10,ED3017,Hatch_Time,23,1.04
10,ED3017,Hatch_Time,24,0.99285
10,ED3017,Hatch_Time,25,1.0079
10,ED3017,Hatch_Time,26,0.96575
10,DL238,Hatch_Time,48,1.2641
10,DL238,Hatch_Time,49,1.3916
10,DL238,Hatch_Time,50,1.2075
10,DL238,Hatch_Time,51,1.2206
10,DL238,Hatch_Time,52,1.482
10,DL238,Hatch_Time,53,1.2783
10,DL238,Hatch_Time,54,1.0815
10,DL238,Hatch_Time,55,1.7529
10,DL238,Hatch_Time,56,1.099
10,DL238,Hatch_Time,61,1.0886
11,JU258,Hatch_Time,47,0.96996
11,JU258,Hatch_Time,48,0.9816
11,JU258,Hatch_Time,49,1.123
11,JU258,Hatch_Time,50,1.1967
11,JU258,Hatch_Time,52,1.0346
11,JU258,Hatch_Time,54,1.2722
11,JU258,Hatch_Time,56,0.90035
11,JU258,Hatch_Time,57,1.0477
11,JU258,Hatch_Time,58,0.9605
11,MY23,Hatch_Time,47,0.97058
11,MY23,Hatch_Time,48,0.93673
11,MY23,Hatch_Time,49,1.1502
11,MY23,Hatch_Time,50,0.99657
11,MY23,Hatch_Time,51,0.94935
11,MY23,Hatch_Time,52,0.94704
11,MY23,Hatch_Time,53,1.3353
11,MY23,Hatch_Time,54,1.0971
11,MY23,Hatch_Time,55,1.1305
11,MY23,Hatch_Time,56,0.98475
11,MY23,Hatch_Time,57,1.1448
11,MY23,Hatch_Time,58,1.0855
11,MY23,Hatch_Time,59,0.94815
11,MY23,Hatch_Time,60,0.97267
11,MY23,Hatch_Time,61,1.0055
11,MY23,Hatch_Time,62,1.1954
11,EG4725,Hatch_Time,33,1.1796
11,EG4725,Hatch_Time,35,0.99124
11,EG4725,Hatch_Time,36,1.217
11,EG4725,Hatch_Time,37,0.97187
11,EG4725,Hatch_Time,38,1.1205
11,EG4725,Hatch_Time,39,1.0041
11,EG4725,Hatch_Time,40,1.3026
11,EG4725,Hatch_Time,46,1.1935
11,EG4725,Hatch_Time,47,1.178
11,EG4725,Hatch_Time,48,1.145
11,N2,Hatch_Time,153,0.99262
11,N2,Hatch_Time,154,0.98347
11,N2,Hatch_Time,155,0.98942
11,N2,Hatch_Time,156,0.96983
11,N2,Hatch_Time,161,1.1116
11,N2,Hatch_Time,162,0.95832
11,N2,Hatch_Time,163,0.95597
11,N2,Hatch_Time,164,0.96396
11,N2,Hatch_Time,167,1.0897
11,N2,Hatch_Time,168,0.98511
12,MY16,Hatch_Time,47,0.9238
12,MY16,Hatch_Time,48,1
12,MY16,Hatch_Time,49,0.80192
12,MY16,Hatch_Time,51,0.93603
12,MY16,Hatch_Time,52,0.8157
12,MY16,Hatch_Time,53,0.87816
12,MY16,Hatch_Time,54,0.85975
12,MY16,Hatch_Time,56,0.93952
12,MY16,Hatch_Time,57,1.095
12,MY16,Hatch_Time,60,0.98699
12,MY16,Hatch_Time,61,1.1623
12,MY16,Hatch_Time,62,1.0649
12,MY23,Hatch_Time,63,1.0269
12,MY23,Hatch_Time,64,1.023
12,MY23,Hatch_Time,65,0.9709
12,MY23,Hatch_Time,67,1.1523
12,MY23,Hatch_Time,68,1.0164
12,MY23,Hatch_Time,69,1.0064
12,MY23,Hatch_Time,70,1.1385
12,MY23,Hatch_Time,72,1.1237
12,MY23,Hatch_Time,74,0.97407
12,MY23,Hatch_Time,75,1.0447
12,MY23,Hatch_Time,76,0.96529
12,MY23,Hatch_Time,77,1.1478
12,MY23,Hatch_Time,78,1.0942
12,N2,Hatch_Time,169,1.13
12,N2,Hatch_Time,170,0.84
12,N2,Hatch_Time,171,1.0256
12,N2,Hatch_Time,172,1.0059
12,N2,Hatch_Time,173,0.84093
12,N2,Hatch_Time,174,0.82009
12,N2,Hatch_Time,175,1.1979
12,N2,Hatch_Time,179,0.98752
12,N2,Hatch_Time,181,1.1578
12,N2,Hatch_Time,182,1.0419
12,N2,Hatch_Time,183,0.87743
12,N2,Hatch_Time,184,1.075
12,JU775,Hatch_Time,33,0.89295
12,JU775,Hatch_Time,34,0.82765
12,JU775,Hatch_Time,38,0.98366
12,JU775,Hatch_Time,39,1.0424
12,JU775,Hatch_Time,41,0.99243
12,JU775,Hatch_Time,43,0.90709
12,JU775,Hatch_Time,46,1.1344
13,CB4856,Hatch_Time,43,1.0193
13,CB4856,Hatch_Time,44,0.98948
13,CB4856,Hatch_Time,46,1.138
13,CB4856,Hatch_Time,48,1.1819
13,CB4856,Hatch_Time,50,0.82843
13,CB4856,Hatch_Time,51,0.89076
13,CB4856,Hatch_Time,53,0.96842
13,CB4856,Hatch_Time,56,1.0029
13,CB4856,Hatch_Time,57,0.91153
13,CX11314,Hatch_Time,47,0.93696
13,CX11314,Hatch_Time,49,0.86159
13,CX11314,Hatch_Time,50,0.94991
13,CX11314,Hatch_Time,51,0.88495
13,CX11314,Hatch_Time,52,0.83743
13,CX11314,Hatch_Time,54,0.96927
13,CX11314,Hatch_Time,55,0.8458
13,CX11314,Hatch_Time,56,0.92384
13,CX11314,Hatch_Time,58,0.84512
13,CX11314,Hatch_Time,59,0.8793
13,CX11314,Hatch_Time,60,0.96761
13,CX11314,Hatch_Time,61,0.95908
13,N2,Hatch_Time,185,0.95675
13,N2,Hatch_Time,186,0.97033
13,N2,Hatch_Time,187,1.0053
13,N2,Hatch_Time,188,0.95904
13,N2,Hatch_Time,189,1.0437
13,N2,Hatch_Time,190,0.98884
13,N2,Hatch_Time,191,1.002
13,N2,Hatch_Time,192,1.0742
13,N2,Hatch_Time,193,0.99555
13,N2,Hatch_Time,194,1.0856
13,N2,Hatch_Time,195,0.91866
14,EG4725,Hatch_Time,49,1.0255
14,EG4725,Hatch_Time,50,1.1713
14,EG4725,Hatch_Time,51,1.1762
14,EG4725,Hatch_Time,52,1.041
14,EG4725,Hatch_Time,53,1.1787
14,EG4725,Hatch_Time,55,1.1503
14,EG4725,Hatch_Time,56,1.0035
14,EG4725,Hatch_Time,57,1.0344
14,EG4725,Hatch_Time,58,1.0585
14,EG4725,Hatch_Time,63,1.0296
14,EG4725,Hatch_Time,64,1.0044
14,MY16,Hatch_Time,63,1.1986
14,MY16,Hatch_Time,64,1.0295
14,MY16,Hatch_Time,65,1.0636
14,MY16,Hatch_Time,66,1.0529
14,MY16,Hatch_Time,67,1.0338
14,MY16,Hatch_Time,68,1.0174
14,MY16,Hatch_Time,69,1.0232
14,MY16,Hatch_Time,70,1.0362
14,MY16,Hatch_Time,71,1.3588
14,MY16,Hatch_Time,72,0.94618
14,MY16,Hatch_Time,75,0.95675
14,MY16,Hatch_Time,76,0.99567
14,MY16,Hatch_Time,77,1.117
14,MY16,Hatch_Time,78,1.2226
14,CB4856,Hatch_Time,59,0.97757
14,CB4856,Hatch_Time,60,0.99535
